education,skills,experience,certifications,projects,career
MCA,"NumPy, Data Analysis, Power BI, Tableau",6.4,None,HR Employee Attrition Insights,Data Analyst
MCA,"Computer Vision, Python, FastAPI, Scikit-learn, PyTorch, Deep Learning, Kubernetes",0.5,DeepLearning.AI TensorFlow Developer,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
B.E,"Power BI, Excel, Business Intelligence, Python, PostgreSQL, R, SQL",0.9,Google Data Analytics Certificate,Financial Quarterly KPI Visualization,Data Analyst
M.S,"SQL, Google Analytics, Tableau, MySQL, Python, Data Visualization, Excel, Business Intelligence",8.7,Tableau Desktop Specialist,Marketing Campaign ROI Tracker,Data Analyst
MCA,"Google Analytics, Python, Tableau, SQL, Excel",1.5,Google Data Analytics Certificate,Supply Chain Inventory Analysis,Data Analyst
BCA,"Docker, FastAPI, PyTorch, Model Deployment, Computer Vision, Python",9.9,None,Transformer-based Chatbot Engine,Machine Learning Engineer
M.Tech,"Terraform, Microservices, GitLab CI, Python, Cloud Architecture, CI/CD",7.7,AWS Solutions Architect Associate,Disaster Recovery Infrastructure as Code,Cloud Engineer
B.Sc,"Scikit-learn, NLP, Machine Learning, NumPy, Pandas",7.5,None,Healthcare Fraud Detection Engine,Data Scientist
M.Tech,"MongoDB, Django, HTML, JavaScript, Next.js, REST API, CSS",9.4,Meta Front-End Developer Certificate,Blog CMS with Markdown Support,Web Developer
MCA,"CUDA, Python, PyTorch, FastAPI, Scikit-learn, Machine Learning, Docker",0.0,GCP Professional ML Engineer,Edge AI Device Defect Classifier,Machine Learning Engineer
M.Sc,"Python, Linux, Firewall, Network Security, Nmap, Wireshark, Bash",9.4,Cisco CCNA Security,Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.E,"Terraform, Python, Prometheus, Microservices, Kubernetes, Docker",1.0,AWS Solutions Architect Associate,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
B.Sc,"Git, OOP, .NET, Python, Data Structures, C++",6.9,Microsoft Certified C# Developer,Multi-threaded File Downloader,Software Developer
B.E,"Docker, MLOps, Pandas, PyTorch, Scikit-learn, Python, NLP",2.5,None,Autonomous Driving Lane Detection,Machine Learning Engineer
B.Sc,"Nmap, Bash, Ethical Hacking, Burp Suite, Linux, Cybersecurity, Metasploit",3.3,CompTIA CySA+,Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
B.Sc,"C++, Java, Algorithms, Linux, Python, SQL",0.1,None,Multi-threaded File Downloader,Software Developer
B.E,"Statistics, Python, Spark, Machine Learning, Scikit-learn",0.3,TensorFlow Developer Certificate,Credit Risk Scoring Algorithm,Data Scientist
MCA,"PostgreSQL, SQL, Google Analytics, Tableau, Python, Data Visualization",4.5,None,Customer Segmentation and Cohort Study,Data Analyst
M.Tech,"GitLab CI, CI/CD, Kubernetes, Docker, Terraform, AWS, Networking",9.2,Microsoft Azure Fundamentals,Kubernetes Microservices Cluster Deployment,Cloud Engineer
M.Tech,"Scikit-learn, CUDA, Kubernetes, Machine Learning, Deep Learning, Pandas, Docker",9.8,GCP Professional ML Engineer,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
B.E,"Azure, Docker, Linux, GitLab CI, AWS, CI/CD, Cloud Architecture",3.2,Certified Kubernetes Administrator (CKA),Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
B.Tech,"Flask, React, Bootstrap, REST API, Express, TypeScript, JavaScript, HTML",0.1,Meta Front-End Developer Certificate,Real-time Collaborative Whiteboard,Web Developer
B.Tech,"TensorFlow, Scikit-learn, AWS, Pandas, Python, Machine Learning, Deep Learning",1.1,GCP Professional ML Engineer,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
B.Tech,"Ethical Hacking, Firewall, Wireshark, Bash, Nmap, Network Security",1.6,CompTIA CySA+,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
M.Tech,"TensorFlow, PyTorch, Python, Pandas, Statistics, Seaborn, NumPy, SQL",6.3,Google Data Analytics,Healthcare Fraud Detection Engine,Data Scientist
M.Sc,"AWS, Kubernetes, Ansible, GitLab CI, Terraform, Jenkins, Cloud Architecture, CI/CD",2.4,Microsoft Azure Fundamentals,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
MCA,"Wireshark, Network Security, Bash, SIEM, Python, Nmap, Ethical Hacking, Cybersecurity",9.4,Certified Ethical Hacker (CEH),Malware Reverse Engineering Sandbox,Cybersecurity Analyst
B.Sc,"Cybersecurity, Nmap, Vulnerability Assessment, Penetration Testing, Linux",9.4,Certified Ethical Hacker (CEH),Phishing Simulation & Awareness Program,Cybersecurity Analyst
M.Tech,"REST API, Git, Data Structures, Java",7.2,AWS Certified Developer,Multi-threaded File Downloader,Software Developer
B.Tech,"Statistics, SQL, NumPy, NLP",9.7,None,Customer Churn Prediction Model,Data Scientist
M.S,"Docker, Cloud Architecture, Kubernetes, Bash",9.6,Google Associate Cloud Engineer,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
MCA,"Linux, CI/CD, AWS, Ansible, Kubernetes, Terraform, Python",9.5,AWS Solutions Architect Associate,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
BCA,"Power BI, NumPy, Google Analytics, Data Analysis, Excel, Pandas, Python, Data Visualization",4.0,Tableau Desktop Specialist,Customer Segmentation and Cohort Study,Data Analyst
M.S,"Deep Learning, Python, Machine Learning, Kubernetes, Scikit-learn, MLOps, TensorFlow",1.9,DeepLearning.AI TensorFlow Developer,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
M.Sc,"Tailwind, React, Django, JavaScript, Next.js, Express",0.3,Meta Front-End Developer Certificate,Social Media Feed Web Application,Web Developer
M.Tech,"Deep Learning, NLP, Kubernetes, Pandas, Python, Scikit-learn",9.9,DeepLearning.AI TensorFlow Developer,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
B.Sc,"NumPy, Matplotlib, Statistics, Python, Tableau, Deep Learning",7.0,Google Data Analytics,House Price Forecasting Pipeline,Data Scientist
B.E,"Node.js, React, Vue.js, HTML",4.5,Full Stack Web Development Bootcamp,Portfolio Showcase with Dynamic Theming,Web Developer
BCA,"Power BI, MySQL, Excel, Data Analysis, Python, Statistics",4.1,None,Marketing Campaign ROI Tracker,Data Analyst
MCA,"Seaborn, SQL, Tableau, Python, Deep Learning, NumPy, Scikit-learn",8.3,Google Data Analytics,House Price Forecasting Pipeline,Data Scientist
MCA,"Firewall, Bash, Metasploit, Nmap, Wireshark, Network Security, Penetration Testing, Linux",1.5,Cisco CCNA Security,Phishing Simulation & Awareness Program,Cybersecurity Analyst
M.S,"CI/CD, Cloud Architecture, Bash, AWS, Microservices, Linux, Jenkins, Docker",4.1,AWS Solutions Architect Associate,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
B.Tech,"C++, Algorithms, Linux, Python, Java, Git",3.2,Microsoft Certified C# Developer,Multi-threaded File Downloader,Software Developer
M.Sc,"Networking, Terraform, Kubernetes, AWS, Linux",7.5,Certified Kubernetes Administrator (CKA),Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
M.Tech,"Scikit-learn, Statistics, Python, Pandas, R, NLP",6.2,None,Recommendation System for E-Commerce,Data Scientist
M.Tech,"Burp Suite, Bash, Ethical Hacking, Firewall, Cybersecurity",6.8,Certified Ethical Hacker (CEH),Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.Sc,"OOP, SQL, Git, MySQL, Algorithms, Java, Data Structures",0.2,Oracle Certified Java Professional,Banking Transaction Core System,Software Developer
B.Tech,"Firewall, Cybersecurity, Network Security, Penetration Testing, Wireshark, Ethical Hacking",3.2,Cisco CCNA Security,Phishing Simulation & Awareness Program,Cybersecurity Analyst
BCA,"REST API, Express, CSS, Vue.js, MongoDB, React, JavaScript",1.4,JavaScript Specialist,Social Media Feed Web Application,Web Developer
BCA,"Data Structures, Linux, OOP, Spring Boot, Git, Algorithms",2.7,Microsoft Certified C# Developer,Distributed Cache Mechanism,Software Developer
B.Tech,"SQL, Google Analytics, Data Analysis, R, Power BI, Data Visualization, Python",1.7,Tableau Desktop Specialist,Financial Quarterly KPI Visualization,Data Analyst
B.Sc,"Computer Vision, Scikit-learn, Machine Learning, Deep Learning",4.9,DeepLearning.AI TensorFlow Developer,Autonomous Driving Lane Detection,Machine Learning Engineer
MCA,"Scikit-learn, Statistics, SQL, Python, Pandas, NLP",5.1,IBM Data Science Professional,Customer Churn Prediction Model,Data Scientist
MCA,"Firewall, Network Security, Nmap, SIEM",5.5,Certified Ethical Hacker (CEH),Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
M.Tech,"SQL, NumPy, NLP, Matplotlib, Tableau, Python, Pandas",5.0,None,Customer Churn Prediction Model,Data Scientist
MCA,"HTML, React, JavaScript, TypeScript, Node.js, Angular, REST API",2.9,JavaScript Specialist,Real-time Collaborative Whiteboard,Web Developer
M.S,"Prometheus, Linux, GCP, Networking, Kubernetes, Terraform",9.8,Google Associate Cloud Engineer,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
MCA,"SOC, Cryptography, Ethical Hacking, Nmap, Wireshark",2.7,CompTIA Security+,Web Application Penetration Testing Report,Cybersecurity Analyst
B.Tech,"Kubernetes, AWS, Networking, Cloud Architecture, Linux",6.6,Certified Kubernetes Administrator (CKA),Kubernetes Microservices Cluster Deployment,Cloud Engineer
B.Sc,"SQL, Power BI, Statistics, Data Visualization, NumPy, Python, PostgreSQL",1.7,Microsoft Certified Data Analyst,Financial Quarterly KPI Visualization,Data Analyst
M.Tech,"Python, R, Excel, Data Visualization, Power BI, Data Analysis, NumPy, PostgreSQL",4.9,None,Supply Chain Inventory Analysis,Data Analyst
MCA,"Flask, Django, HTML, CSS, Node.js",4.5,Meta Front-End Developer Certificate,Restaurant Food Ordering Web App,Web Developer
B.E,"Data Analysis, Statistics, R, Data Visualization, Excel",0.8,Tableau Desktop Specialist,Financial Quarterly KPI Visualization,Data Analyst
B.E,"Express, React, JavaScript, Flask, MongoDB, Django",0.2,Full Stack Web Development Bootcamp,Real-time Collaborative Whiteboard,Web Developer
B.Sc,"Express, Node.js, PostgreSQL, MongoDB, HTML, Next.js",9.6,Meta Front-End Developer Certificate,Social Media Feed Web Application,Web Developer
B.Tech,"Cryptography, Nmap, Metasploit, Ethical Hacking, Linux, Cybersecurity",3.3,None,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
M.Sc,"Python, AWS, Bash, Terraform, Azure, Kubernetes",2.1,Microsoft Azure Fundamentals,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
M.Tech,"CI/CD, Bash, Docker, GCP, Terraform",3.7,Google Associate Cloud Engineer,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
BCA,"NumPy, Pandas, Scikit-learn, NLP, Matplotlib, Statistics, TensorFlow, Python",9.5,None,Credit Risk Scoring Algorithm,Data Scientist
B.Sc,"TensorFlow, SQL, PyTorch, Python, Scikit-learn, Matplotlib",7.7,None,Recommendation System for E-Commerce,Data Scientist
M.S,"PyTorch, Scikit-learn, Docker, Model Deployment, Python, CUDA, FastAPI",4.5,GCP Professional ML Engineer,Real-time Object Detection with YOLO,Machine Learning Engineer
M.Sc,"Linux, Bash, Ethical Hacking, Nmap, Network Security, Cybersecurity, Burp Suite",1.3,None,Web Application Penetration Testing Report,Cybersecurity Analyst
BCA,"Google Analytics, Excel, Tableau, Pandas, Data Visualization, SQL, Power BI",6.8,Tableau Desktop Specialist,Sales Performance Interactive Dashboard,Data Analyst
M.S,"Deep Learning, FastAPI, Scikit-learn, Computer Vision, Kubernetes, Docker, Python, PyTorch",8.0,GCP Professional ML Engineer,Transformer-based Chatbot Engine,Machine Learning Engineer
B.Sc,"PostgreSQL, Tableau, Data Analysis, Python",7.5,Microsoft Certified Data Analyst,Sales Performance Interactive Dashboard,Data Analyst
B.E,"Machine Learning, TensorFlow, Scikit-learn, Python, Statistics",9.3,TensorFlow Developer Certificate,Recommendation System for E-Commerce,Data Scientist
B.E,"SIEM, Network Security, Wireshark, Firewall, Ethical Hacking",5.4,Certified Ethical Hacker (CEH),Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
B.Sc,"Data Analysis, Power BI, Google Analytics, Data Visualization, R, SQL, PostgreSQL, Excel",9.5,Microsoft Certified Data Analyst,HR Employee Attrition Insights,Data Analyst
B.E,"Git, C++, OOP, Python, Unit Testing, Data Structures",4.3,None,Banking Transaction Core System,Software Developer
B.Sc,"Power BI, Data Analysis, Data Visualization, Python, MySQL, SQL",1.9,Microsoft Certified Data Analyst,HR Employee Attrition Insights,Data Analyst
B.Sc,"Statistics, Machine Learning, Matplotlib, Pandas, Deep Learning",9.8,IBM Data Science Professional,Healthcare Fraud Detection Engine,Data Scientist
M.S,"MySQL, C#, Docker, Git, Data Structures, OOP",1.9,None,Hospital Management Desktop App,Software Developer
B.Tech,"MySQL, OOP, Docker, C++, Algorithms, Java, Python",8.1,Microsoft Certified C# Developer,Banking Transaction Core System,Software Developer
M.Tech,"Jenkins, Azure, CI/CD, Linux, Docker, Networking",2.7,Microsoft Azure Fundamentals,Kubernetes Microservices Cluster Deployment,Cloud Engineer
B.E,"NLP, PyTorch, Scikit-learn, TensorFlow, Pandas, Deep Learning, Python",5.5,DeepLearning.AI TensorFlow Developer,Real-time Object Detection with YOLO,Machine Learning Engineer
M.Tech,"Firewall, Wireshark, Burp Suite, Ethical Hacking, Nmap, SOC",2.6,Certified Ethical Hacker (CEH),Malware Reverse Engineering Sandbox,Cybersecurity Analyst
M.S,"Big Data, Scikit-learn, NumPy, Machine Learning",7.5,IBM Data Science Professional,House Price Forecasting Pipeline,Data Scientist
B.Tech,"Excel, Statistics, Python, MySQL, PostgreSQL, SQL",4.7,None,Customer Segmentation and Cohort Study,Data Analyst
B.Sc,"Python, Linux, OOP, Data Structures, Unit Testing, C++, SQL",2.4,AWS Certified Developer,Peer-to-Peer Chat Engine,Software Developer
BCA,"React, JavaScript, Tailwind, Express, HTML, CSS",4.2,Meta Front-End Developer Certificate,E-Commerce Web Portal with Stripe,Web Developer
B.Sc,"Tableau, SQL, Pandas, Scikit-learn, Statistics, Python, Matplotlib",0.2,Google Data Analytics,Recommendation System for E-Commerce,Data Scientist
M.S,"Python, C++, Docker, Algorithms, Spring Boot, Java",3.1,None,Multi-threaded File Downloader,Software Developer
MCA,"Network Security, Penetration Testing, Burp Suite, Nmap, Linux",8.0,CompTIA CySA+,Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
M.Sc,"Wireshark, Cybersecurity, Vulnerability Assessment, Network Security, Metasploit, Nmap",3.5,CompTIA Security+,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
B.Tech,"Scikit-learn, Big Data, Statistics, Machine Learning, Spark",9.1,Google Data Analytics,Customer Churn Prediction Model,Data Scientist
B.E,"Vue.js, Django, Next.js, Node.js, JavaScript, Express",9.9,None,Blog CMS with Markdown Support,Web Developer
M.S,"Flask, CSS, React, MongoDB, REST API, Bootstrap",6.8,JavaScript Specialist,Blog CMS with Markdown Support,Web Developer
MCA,"Linux, Cloud Architecture, AWS, Jenkins, CI/CD",3.9,Google Associate Cloud Engineer,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
B.Sc,"TensorFlow, SQL, Seaborn, Python, Matplotlib, Scikit-learn",9.7,Google Data Analytics,Healthcare Fraud Detection Engine,Data Scientist
BCA,"Ethical Hacking, Firewall, Cybersecurity, Linux, Network Security, Python",1.6,Cisco CCNA Security,Intrusion Detection System with Snort,Cybersecurity Analyst
M.S,"Next.js, HTML, CSS, REST API, Express, JavaScript, PostgreSQL",6.3,Meta Front-End Developer Certificate,Real-time Collaborative Whiteboard,Web Developer
M.S,"Scikit-learn, Pandas, NumPy, Statistics, Machine Learning, Matplotlib, TensorFlow, Spark",0.3,TensorFlow Developer Certificate,Sentiment Analysis on Product Reviews,Data Scientist
M.Tech,"PyTorch, Machine Learning, Model Deployment, Python, Docker, Deep Learning",7.4,GCP Professional ML Engineer,Autonomous Driving Lane Detection,Machine Learning Engineer
M.Sc,"Ethical Hacking, Linux, Wireshark, Python, SOC, Network Security, SIEM, Cybersecurity",7.3,None,Intrusion Detection System with Snort,Cybersecurity Analyst
M.Sc,"Python, Machine Learning, TensorFlow, Kubernetes, Model Deployment, PyTorch, Computer Vision, Deep Learning",6.9,DeepLearning.AI TensorFlow Developer,Edge AI Device Defect Classifier,Machine Learning Engineer
BCA,"Flask, JavaScript, Bootstrap, REST API, Django, Node.js",9.3,Full Stack Web Development Bootcamp,Real-time Collaborative Whiteboard,Web Developer
B.Tech,"TensorFlow, Docker, Scikit-learn, Python, Machine Learning, AWS, Model Deployment",8.1,GCP Professional ML Engineer,Real-time Object Detection with YOLO,Machine Learning Engineer
B.E,"NLP, Spark, NumPy, Scikit-learn, Python, Machine Learning, SQL",6.2,IBM Data Science Professional,Sentiment Analysis on Product Reviews,Data Scientist
M.Tech,"Power BI, NumPy, Business Intelligence, Tableau, Excel, Data Visualization, Google Analytics",7.3,Microsoft Certified Data Analyst,Supply Chain Inventory Analysis,Data Analyst
B.E,"Cybersecurity, Nmap, Linux, Wireshark, Firewall, Bash",6.5,Cisco CCNA Security,Web Application Penetration Testing Report,Cybersecurity Analyst
M.Tech,"REST API, MongoDB, JavaScript, TypeScript, HTML",7.9,JavaScript Specialist,Social Media Feed Web Application,Web Developer
M.Tech,"Unit Testing, MySQL, Design Patterns, Algorithms, Java, OOP",6.3,Oracle Certified Java Professional,Banking Transaction Core System,Software Developer
BCA,"Vue.js, HTML, Express, Angular, Node.js, CSS",4.1,Meta Front-End Developer Certificate,E-Commerce Web Portal with Stripe,Web Developer
M.Tech,"AWS, Linux, Terraform, Kubernetes, Cloud Architecture, Bash",4.3,Microsoft Azure Fundamentals,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
BCA,"NLP, Docker, PyTorch, Computer Vision, Python, TensorFlow, Deep Learning, Model Deployment",9.0,AWS Certified Machine Learning Specialty,Autonomous Driving Lane Detection,Machine Learning Engineer
B.Tech,"Tableau, Python, Data Visualization, Excel, R, MySQL, PostgreSQL, SQL",4.0,None,Customer Segmentation and Cohort Study,Data Analyst
B.Tech,"Data Visualization, Python, SQL, Data Analysis, Tableau, Google Analytics",1.5,Tableau Desktop Specialist,Supply Chain Inventory Analysis,Data Analyst
M.Tech,"Excel, Statistics, Google Analytics, Data Analysis, Tableau, Power BI, Data Visualization, Business Intelligence",3.0,Tableau Desktop Specialist,Sales Performance Interactive Dashboard,Data Analyst
M.Sc,"Data Visualization, Python, Power BI, Pandas, Excel",5.6,None,Marketing Campaign ROI Tracker,Data Analyst
M.Sc,"Docker, AWS, FastAPI, Python, Deep Learning, NLP, Machine Learning, Scikit-learn",3.1,AWS Certified Machine Learning Specialty,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
BCA,"Scikit-learn, Pandas, Python, Deep Learning, TensorFlow, MLOps, FastAPI, PyTorch",3.9,DeepLearning.AI TensorFlow Developer,Edge AI Device Defect Classifier,Machine Learning Engineer
B.E,"Scikit-learn, Deep Learning, Kubernetes, NLP, TensorFlow, Docker, Pandas, PyTorch",2.5,None,Real-time Object Detection with YOLO,Machine Learning Engineer
B.E,"Power BI, NumPy, Excel, SQL, Tableau, Data Analysis",7.4,None,Supply Chain Inventory Analysis,Data Analyst
B.Sc,"Python, Machine Learning, Seaborn, NumPy, SQL, R, Big Data, Scikit-learn",9.7,Google Data Analytics,Customer Churn Prediction Model,Data Scientist
BCA,"Business Intelligence, SQL, Data Visualization, Python, Excel, Data Analysis",1.5,None,Marketing Campaign ROI Tracker,Data Analyst
B.E,"Networking, Kubernetes, GCP, Docker, AWS, Cloud Architecture",3.6,Certified Kubernetes Administrator (CKA),Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
M.S,"Bash, Nmap, Python, Network Security, Firewall, Linux, Metasploit, Wireshark",2.3,CompTIA CySA+,Phishing Simulation & Awareness Program,Cybersecurity Analyst
M.Sc,"PostgreSQL, Power BI, NumPy, Data Analysis, Tableau, Python",4.8,Google Data Analytics Certificate,Financial Quarterly KPI Visualization,Data Analyst
BCA,"Python, Ethical Hacking, SIEM, Penetration Testing, Cybersecurity, Wireshark, Linux",2.1,None,Web Application Penetration Testing Report,Cybersecurity Analyst
M.Tech,"HTML, TypeScript, CSS, Next.js, Express, React, JavaScript",6.4,Full Stack Web Development Bootcamp,Social Media Feed Web Application,Web Developer
B.Tech,"CSS, JavaScript, Express, Flask, REST API, Django, Tailwind",9.7,None,Blog CMS with Markdown Support,Web Developer
B.E,"Node.js, CSS, React, Angular, HTML, JavaScript, Flask",5.7,None,Real-time Collaborative Whiteboard,Web Developer
B.E,"Tableau, Big Data, R, Machine Learning, Python, Statistics",1.6,None,Customer Churn Prediction Model,Data Scientist
B.E,"Express, Angular, JavaScript, Node.js, CSS, Bootstrap",8.5,None,Real-time Collaborative Whiteboard,Web Developer
B.Tech,"Kubernetes, Docker, Bash, AWS, Terraform, Prometheus, CI/CD, GCP",8.2,Certified Kubernetes Administrator (CKA),Kubernetes Microservices Cluster Deployment,Cloud Engineer
B.Tech,"Flask, React, PostgreSQL, Express, Node.js",5.4,Meta Front-End Developer Certificate,Real-time Collaborative Whiteboard,Web Developer
B.Tech,"AWS, Docker, CI/CD, Terraform, Ansible, Linux",7.0,AWS Solutions Architect Associate,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
M.Tech,"React, Express, CSS, HTML, Node.js, Next.js",2.9,None,Blog CMS with Markdown Support,Web Developer
M.Sc,"Business Intelligence, Python, SQL, Tableau, Statistics",3.3,None,Supply Chain Inventory Analysis,Data Analyst
B.Sc,"CSS, MongoDB, React, REST API, Next.js, HTML, Express, PostgreSQL",5.4,Full Stack Web Development Bootcamp,Blog CMS with Markdown Support,Web Developer
M.S,"SQL, Business Intelligence, Power BI, Python, Data Visualization",8.1,Google Data Analytics Certificate,HR Employee Attrition Insights,Data Analyst
B.E,"SQL, Pandas, Statistics, NumPy, Python, Big Data",3.9,Google Data Analytics,Healthcare Fraud Detection Engine,Data Scientist
M.S,"Cloud Architecture, CI/CD, Terraform, Bash, Jenkins, Docker, GitLab CI, Kubernetes",3.8,AWS Solutions Architect Associate,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
BCA,"Google Analytics, MySQL, Power BI, Excel, NumPy, SQL, Python, Data Visualization",0.9,None,HR Employee Attrition Insights,Data Analyst
M.Tech,"Python, Google Analytics, Excel, Tableau, Data Visualization",2.9,Tableau Desktop Specialist,Financial Quarterly KPI Visualization,Data Analyst
MCA,"Algorithms, Docker, C++, Java, OOP",6.2,Microsoft Certified C# Developer,Hospital Management Desktop App,Software Developer
B.Sc,"Express, Bootstrap, Next.js, React, REST API, JavaScript, Vue.js, HTML",3.0,None,Restaurant Food Ordering Web App,Web Developer
MCA,"MySQL, Tableau, Python, Data Visualization, SQL, Power BI",5.9,Microsoft Certified Data Analyst,HR Employee Attrition Insights,Data Analyst
MCA,"MySQL, REST API, Data Structures, Unit Testing, Algorithms, Java, Python",8.1,AWS Certified Developer,Inventory and Billing Management Software,Software Developer
M.S,"SQL, Excel, Statistics, Data Analysis",1.0,Google Data Analytics Certificate,Marketing Campaign ROI Tracker,Data Analyst
B.Tech,"Python, Excel, Business Intelligence, Statistics, SQL, Pandas",0.9,Tableau Desktop Specialist,Sales Performance Interactive Dashboard,Data Analyst
B.Tech,"Cloud Architecture, CI/CD, AWS, Linux, Ansible, Terraform",6.4,Microsoft Azure Fundamentals,Kubernetes Microservices Cluster Deployment,Cloud Engineer
MCA,"PostgreSQL, Python, Business Intelligence, SQL, Data Analysis, Google Analytics, Power BI, Data Visualization",4.7,Tableau Desktop Specialist,HR Employee Attrition Insights,Data Analyst
M.S,"C++, OOP, Linux, MySQL, Java",7.0,Microsoft Certified C# Developer,Multi-threaded File Downloader,Software Developer
BCA,"Algorithms, MySQL, C++, Linux, Docker, OOP, Git",8.3,Microsoft Certified C# Developer,Peer-to-Peer Chat Engine,Software Developer
M.Sc,"Matplotlib, NumPy, TensorFlow, R, Python, SQL",9.2,IBM Data Science Professional,Customer Churn Prediction Model,Data Scientist
B.E,"Data Structures, C#, Algorithms, OOP, C++, Design Patterns, Git, Spring Boot",1.8,Microsoft Certified C# Developer,Distributed Cache Mechanism,Software Developer
B.Sc,"Docker, MLOps, TensorFlow, PyTorch, Computer Vision, Deep Learning, Python, CUDA",5.9,None,Edge AI Device Defect Classifier,Machine Learning Engineer
M.Sc,"Excel, Power BI, Google Analytics, Tableau, Python, SQL, R",5.6,Tableau Desktop Specialist,Financial Quarterly KPI Visualization,Data Analyst
MCA,"SQL, R, Python, Seaborn, Pandas, Scikit-learn, Machine Learning, Deep Learning",0.8,IBM Data Science Professional,House Price Forecasting Pipeline,Data Scientist
M.Tech,"Python, Docker, CI/CD, Cloud Architecture, Kubernetes, AWS",1.6,Certified Kubernetes Administrator (CKA),Kubernetes Microservices Cluster Deployment,Cloud Engineer
B.Sc,"MLOps, Scikit-learn, Python, Model Deployment, Machine Learning, Deep Learning",8.2,None,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
BCA,"Deep Learning, Statistics, Matplotlib, Pandas, Machine Learning, Scikit-learn, Python",6.8,None,Healthcare Fraud Detection Engine,Data Scientist
B.Tech,"Big Data, Python, Pandas, Deep Learning, NumPy, Statistics, NLP, SQL",2.4,TensorFlow Developer Certificate,Recommendation System for E-Commerce,Data Scientist
B.Tech,"Data Analysis, PostgreSQL, Excel, Tableau, Data Visualization",9.9,Tableau Desktop Specialist,HR Employee Attrition Insights,Data Analyst
BCA,"Docker, Spring Boot, Data Structures, C++, Unit Testing, Python",3.1,None,Peer-to-Peer Chat Engine,Software Developer
M.Sc,"Data Visualization, Excel, PostgreSQL, SQL",7.7,Tableau Desktop Specialist,Supply Chain Inventory Analysis,Data Analyst
B.E,"Data Visualization, Excel, Pandas, Data Analysis, R, Tableau, Python",8.0,Tableau Desktop Specialist,Supply Chain Inventory Analysis,Data Analyst
B.Sc,"Statistics, SQL, Tableau, Data Visualization, Business Intelligence, Data Analysis, Power BI",6.3,None,Marketing Campaign ROI Tracker,Data Analyst
BCA,"Tableau, Data Visualization, Excel, NumPy, Python, Google Analytics",0.8,None,Marketing Campaign ROI Tracker,Data Analyst
B.Tech,"Python, MLOps, Kubernetes, PyTorch, Docker, Deep Learning, CUDA",6.0,DeepLearning.AI TensorFlow Developer,Autonomous Driving Lane Detection,Machine Learning Engineer
B.Sc,"Node.js, Angular, REST API, React, HTML",3.2,JavaScript Specialist,Restaurant Food Ordering Web App,Web Developer
B.E,"Penetration Testing, Bash, Firewall, Linux, Nmap, Cybersecurity, Vulnerability Assessment",6.1,CompTIA Security+,Intrusion Detection System with Snort,Cybersecurity Analyst
M.Sc,"SQL, PostgreSQL, Data Analysis, Tableau, Power BI, Python",1.5,Microsoft Certified Data Analyst,Sales Performance Interactive Dashboard,Data Analyst
B.E,"Linux, Docker, AWS, Kubernetes, Terraform, Prometheus",3.9,Certified Kubernetes Administrator (CKA),Kubernetes Microservices Cluster Deployment,Cloud Engineer
B.Tech,"CI/CD, Prometheus, Cloud Architecture, Python, Terraform",0.2,Google Associate Cloud Engineer,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
BCA,"TypeScript, Django, Next.js, REST API, HTML, React, Node.js, JavaScript",6.0,Meta Front-End Developer Certificate,Social Media Feed Web Application,Web Developer
B.E,"PyTorch, Machine Learning, Scikit-learn, AWS, Docker, TensorFlow",3.6,AWS Certified Machine Learning Specialty,Transformer-based Chatbot Engine,Machine Learning Engineer
